Instituição;Unidade;Escopo da Inconsistência;Situação da Inconsistência;Total de Inconsistências
Instituto Federal do Amazonas;Campus Humaitá;Ciclo;Alterado RA;76
Instituto Federal do Amazonas;Campus Humaitá;Ciclo;Inconsistente RA;29
Instituto Federal do Amazonas;Campus Humaitá;Curso;Alterado RA;9
Instituto Federal do Amazonas;Campus Humaitá;Curso;Inconsistente RA;3
Instituto Federal do Amazonas;Campus Humaitá;Matrícula;Alterado RA;2.112
Instituto Federal do Amazonas;Campus Humaitá;Matrícula;Inconsistente RA;2.130
Instituto Federal do Amazonas;Campus Iranduba;Ciclo;Alterado RA;52
Instituto Federal do Amazonas;Campus Iranduba;Ciclo;Inconsistente RA;2
Instituto Federal do Amazonas;Campus Iranduba;Curso;Validado RA;6
Instituto Federal do Amazonas;Campus Iranduba;Matrícula;Alterado RA;1.566
Instituto Federal do Amazonas;Campus Iranduba;Matrícula;Inconsistente RA;977
Instituto Federal do Amazonas;Campus Itacoatiara;Ciclo;Alterado RA;28
Instituto Federal do Amazonas;Campus Itacoatiara;Ciclo;Inconsistente RA;39
Instituto Federal do Amazonas;Campus Itacoatiara;Curso;Validado RA;10
Instituto Federal do Amazonas;Campus Itacoatiara;Matrícula;Alterado RA;1.313
Instituto Federal do Amazonas;Campus Itacoatiara;Matrícula;Inconsistente RA;1.917
Instituto Federal do Amazonas;Campus Lábrea;Ciclo;Alterado RA;77
Instituto Federal do Amazonas;Campus Lábrea;Ciclo;Inconsistente RA;1
Instituto Federal do Amazonas;Campus Lábrea;Curso;Validado RA;12
Instituto Federal do Amazonas;Campus Lábrea;Matrícula;Alterado RA;2.119
Instituto Federal do Amazonas;Campus Lábrea;Matrícula;Inconsistente RA;1.470
Instituto Federal do Amazonas;Campus Manacapuru;Ciclo;Alterado RA;65
Instituto Federal do Amazonas;Campus Manacapuru;Ciclo;Inconsistente RA;120
Instituto Federal do Amazonas;Campus Manacapuru;Curso;Validado RA;37
Instituto Federal do Amazonas;Campus Manacapuru;Matrícula;Alterado RA;1.665
Instituto Federal do Amazonas;Campus Manacapuru;Matrícula;Inconsistente RA;2.472
Instituto Federal do Amazonas;Campus Manaus Centro;Ciclo;Alterado RA;554
Instituto Federal do Amazonas;Campus Manaus Centro;Ciclo;Inconsistente RA;203
Instituto Federal do Amazonas;Campus Manaus Centro;Curso;Alterado RA;31
Instituto Federal do Amazonas;Campus Manaus Centro;Curso;Inconsistente RA;3
Instituto Federal do Amazonas;Campus Manaus Centro;Matrícula;Alterado RA;15.203
Instituto Federal do Amazonas;Campus Manaus Centro;Matrícula;Inconsistente RA;11.645
Instituto Federal do Amazonas;Campus Manaus Distrito Industrial;Ciclo;Alterado RA;232
Instituto Federal do Amazonas;Campus Manaus Distrito Industrial;Ciclo;Inconsistente RA;86
Instituto Federal do Amazonas;Campus Manaus Distrito Industrial;Curso;Alterado RA;17
Instituto Federal do Amazonas;Campus Manaus Distrito Industrial;Curso;Inconsistente RA;6
Instituto Federal do Amazonas;Campus Manaus Distrito Industrial;Matrícula;Alterado RA;5.561
Instituto Federal do Amazonas;Campus Manaus Distrito Industrial;Matrícula;Inconsistente RA;5.097
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Ciclo;Alterado RA;2
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Ciclo;Inconsistente RA;1
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Ciclo;Validado RA;324
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Curso;Validado RA;37
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Matrícula;Alterado RA;8.305
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Matrícula;Inconsistente RA;5.436
Instituto Federal do Amazonas;Campus Manaus Zona Leste;Matrícula;Validado RA;3.320
Instituto Federal do Amazonas;Campus Maués;Ciclo;Alterado RA;34
Instituto Federal do Amazonas;Campus Maués;Ciclo;Inconsistente RA;5
Instituto Federal do Amazonas;Campus Maués;Ciclo;Validado RA;50
Instituto Federal do Amazonas;Campus Maués;Curso;Validado RA;8
Instituto Federal do Amazonas;Campus Maués;Matrícula;Alterado RA;2.601
Instituto Federal do Amazonas;Campus Maués;Matrícula;Inconsistente RA;994
Instituto Federal do Amazonas;Campus Parintins;Ciclo;Validado RA;133
Instituto Federal do Amazonas;Campus Parintins;Curso;Validado RA;9
Instituto Federal do Amazonas;Campus Parintins;Matrícula;Alterado RA;3.851
Instituto Federal do Amazonas;Campus Parintins;Matrícula;Inconsistente RA;2.391
Instituto Federal do Amazonas;Campus Presidente Figueiredo;Ciclo;Alterado RA;75
Instituto Federal do Amazonas;Campus Presidente Figueiredo;Ciclo;Inconsistente RA;33
Instituto Federal do Amazonas;Campus Presidente Figueiredo;Curso;Alterado RA;10
Instituto Federal do Amazonas;Campus Presidente Figueiredo;Curso;Inconsistente RA;3
Instituto Federal do Amazonas;Campus Presidente Figueiredo;Matrícula;Alterado RA;1.825
Instituto Federal do Amazonas;Campus Presidente Figueiredo;Matrícula;Inconsistente RA;2.123
Instituto Federal do Amazonas;Campus São Gabriel da Cachoeira;Ciclo;Alterado RA;56
Instituto Federal do Amazonas;Campus São Gabriel da Cachoeira;Ciclo;Inconsistente RA;37
Instituto Federal do Amazonas;Campus São Gabriel da Cachoeira;Curso;Validado RA;9
Instituto Federal do Amazonas;Campus São Gabriel da Cachoeira;Matrícula;Alterado RA;1.640
Instituto Federal do Amazonas;Campus São Gabriel da Cachoeira;Matrícula;Inconsistente RA;2.135
Instituto Federal do Amazonas;Campus Tabatinga;Ciclo;Alterado RA;61
Instituto Federal do Amazonas;Campus Tabatinga;Ciclo;Inconsistente RA;22
Instituto Federal do Amazonas;Campus Tabatinga;Curso;Validado RA;9
Instituto Federal do Amazonas;Campus Tabatinga;Matrícula;Alterado RA;2.078
Instituto Federal do Amazonas;Campus Tabatinga;Matrícula;Inconsistente RA;1.858
Instituto Federal do Amazonas;Campus Tefé;Ciclo;Alterado RA;52
Instituto Federal do Amazonas;Campus Tefé;Ciclo;Inconsistente RA;46
Instituto Federal do Amazonas;Campus Tefé;Curso;Alterado RA;11
Instituto Federal do Amazonas;Campus Tefé;Curso;Inconsistente RA;4
Instituto Federal do Amazonas;Campus Tefé;Matrícula;Alterado RA;1.842
Instituto Federal do Amazonas;Campus Tefé;Matrícula;Inconsistente RA;2.452
Instituto Federal do Ceará;Campus Acaraú;Ciclo;Alterado RA;211
Instituto Federal do Ceará;Campus Acaraú;Ciclo;Inconsistente RA;68
Instituto Federal do Ceará;Campus Acaraú;Curso;Alterado RA;16
Instituto Federal do Ceará;Campus Acaraú;Matrícula;Alterado RA;2.853
Instituto Federal do Ceará;Campus Acaraú;Matrícula;Inconsistente RA;2.309
Instituto Federal do Ceará;Campus Acopiara;Ciclo;Validado RA;127
Instituto Federal do Ceará;Campus Acopiara;Curso;Validado RA;17
Instituto Federal do Ceará;Campus Acopiara;Matrícula;Validado RA;3.172
Instituto Federal do Ceará;Campus Aracati;Ciclo;Alterado RA;28
Instituto Federal do Ceará;Campus Aracati;Ciclo;Inconsistente RA;7
Instituto Federal do Ceará;Campus Aracati;Ciclo;Validado RA;192
Instituto Federal do Ceará;Campus Aracati;Curso;Alterado RA;1
Instituto Federal do Ceará;Campus Aracati;Curso;Validado RA;10
Instituto Federal do Ceará;Campus Aracati;Matrícula;Alterado RA;237
Instituto Federal do Ceará;Campus Aracati;Matrícula;Inconsistente RA;139
Instituto Federal do Ceará;Campus Aracati;Matrícula;Validado RA;4.327
Instituto Federal do Ceará;Campus Avançado Guaramiranga;Ciclo;Alterado RA;15
Instituto Federal do Ceará;Campus Avançado Guaramiranga;Ciclo;Validado RA;68
Instituto Federal do Ceará;Campus Avançado Guaramiranga;Curso;Validado RA;10
Instituto Federal do Ceará;Campus Avançado Guaramiranga;Matrícula;Alterado RA;1.168
Instituto Federal do Ceará;Campus Avançado Guaramiranga;Matrícula;Inconsistente RA;684
Instituto Federal do Ceará;Campus Avançado Jaguaruana;Ciclo;Alterado RA;62
Instituto Federal do Ceará;Campus Avançado Jaguaruana;Ciclo;Inconsistente RA;55
Instituto Federal do Ceará;Campus Avançado Jaguaruana;Curso;Alterado RA;14
Instituto Federal do Ceará;Campus Avançado Jaguaruana;Curso;Inconsistente RA;3
Instituto Federal do Ceará;Campus Avançado Jaguaruana;Matrícula;Alterado RA;1.218
Instituto Federal do Ceará;Campus Avançado Jaguaruana;Matrícula;Inconsistente RA;1.500
Instituto Federal do Ceará;Campus Avançado Mombaça;Ciclo;Validado RA;53
Instituto Federal do Ceará;Campus Avançado Mombaça;Curso;Validado RA;13
Instituto Federal do Ceará;Campus Avançado Mombaça;Matrícula;Validado RA;1.092
Instituto Federal do Ceará;Campus Avançado Pecém;Ciclo;Alterado RA;126
Instituto Federal do Ceará;Campus Avançado Pecém;Ciclo;Inconsistente RA;64
Instituto Federal do Ceará;Campus Avançado Pecém;Curso;Validado RA;19
Instituto Federal do Ceará;Campus Avançado Pecém;Matrícula;Alterado RA;3.657
Instituto Federal do Ceará;Campus Avançado Pecém;Matrícula;Inconsistente RA;2.932
Instituto Federal do Ceará;Campus Baturité;Ciclo;Alterado RA;141
Instituto Federal do Ceará;Campus Baturité;Ciclo;Inconsistente RA;35
Instituto Federal do Ceará;Campus Baturité;Curso;Alterado RA;8
Instituto Federal do Ceará;Campus Baturité;Curso;Inconsistente RA;2
Instituto Federal do Ceará;Campus Baturité;Matrícula;Alterado RA;2.760
Instituto Federal do Ceará;Campus Baturité;Matrícula;Inconsistente RA;2.060
Instituto Federal do Ceará;Campus Boa Viagem;Ciclo;Alterado RA;20
Instituto Federal do Ceará;Campus Boa Viagem;Ciclo;Inconsistente RA;29
Instituto Federal do Ceará;Campus Boa Viagem;Ciclo;Validado RA;54
Instituto Federal do Ceará;Campus Boa Viagem;Curso;Validado RA;6
Instituto Federal do Ceará;Campus Boa Viagem;Matrícula;Alterado RA;1.457
Instituto Federal do Ceará;Campus Boa Viagem;Matrícula;Inconsistente RA;1.241
Instituto Federal do Ceará;Campus Boa Viagem;Matrícula;Validado RA;23
Instituto Federal do Ceará;Campus Camocim;Ciclo;Alterado RA;169
Instituto Federal do Ceará;Campus Camocim;Ciclo;Validado RA;63
Instituto Federal do Ceará;Campus Camocim;Curso;Validado RA;11
Instituto Federal do Ceará;Campus Camocim;Matrícula;Alterado RA;4.210
Instituto Federal do Ceará;Campus Camocim;Matrícula;Inconsistente RA;1.755
Instituto Federal do Ceará;Campus Canindé;Ciclo;Alterado RA;142
Instituto Federal do Ceará;Campus Canindé;Ciclo;Inconsistente RA;47
Instituto Federal do Ceará;Campus Canindé;Ciclo;Validado RA;50
Instituto Federal do Ceará;Campus Canindé;Curso;Validado RA;19
Instituto Federal do Ceará;Campus Canindé;Matrícula;Alterado RA;3.781
Instituto Federal do Ceará;Campus Canindé;Matrícula;Inconsistente RA;2.868
Instituto Federal do Ceará;Campus Caucaia;Ciclo;Alterado RA;93
Instituto Federal do Ceará;Campus Caucaia;Ciclo;Inconsistente RA;47
Instituto Federal do Ceará;Campus Caucaia;Curso;Validado RA;17
Instituto Federal do Ceará;Campus Caucaia;Matrícula;Alterado RA;2.176
Instituto Federal do Ceará;Campus Caucaia;Matrícula;Inconsistente RA;2.053
Instituto Federal do Ceará;Campus Cedro;Ciclo;Validado RA;361
Instituto Federal do Ceará;Campus Cedro;Curso;Validado RA;25
Instituto Federal do Ceará;Campus Cedro;Matrícula;Alterado RA;7.496
Instituto Federal do Ceará;Campus Cedro;Matrícula;Inconsistente RA;1.886
Instituto Federal do Ceará;Campus Crateús;Ciclo;Validado RA;237
Instituto Federal do Ceará;Campus Crateús;Curso;Validado RA;12
Instituto Federal do Ceará;Campus Crateús;Matrícula;Alterado RA;4.065
Instituto Federal do Ceará;Campus Crateús;Matrícula;Inconsistente RA;2.287
Instituto Federal do Ceará;Campus Crateús;Matrícula;Validado RA;1.801
Instituto Federal do Ceará;Campus Crato;Ciclo;Alterado RA;193
Instituto Federal do Ceará;Campus Crato;Ciclo;Inconsistente RA;12
Instituto Federal do Ceará;Campus Crato;Curso;Validado RA;10
Instituto Federal do Ceará;Campus Crato;Matrícula;Alterado RA;4.632
Instituto Federal do Ceará;Campus Crato;Matrícula;Inconsistente RA;2.952
Instituto Federal do Ceará;Campus Fortaleza;Ciclo;Validado RA;1.613
Instituto Federal do Ceará;Campus Fortaleza;Curso;Validado RA;53
Instituto Federal do Ceará;Campus Fortaleza;Matrícula;Alterado RA;31.372
Instituto Federal do Ceará;Campus Fortaleza;Matrícula;Inconsistente RA;16.052
Instituto Federal do Ceará;Campus Horizonte;Ciclo;Validado RA;144
Instituto Federal do Ceará;Campus Horizonte;Curso;Validado RA;15
Instituto Federal do Ceará;Campus Horizonte;Matrícula;Alterado RA;2.530
Instituto Federal do Ceará;Campus Horizonte;Matrícula;Inconsistente RA;1.242
Instituto Federal do Ceará;Campus Iguatu;Ciclo;Alterado RA;248
Instituto Federal do Ceará;Campus Iguatu;Ciclo;Validado RA;46
Instituto Federal do Ceará;Campus Iguatu;Curso;Validado RA;18
Instituto Federal do Ceará;Campus Iguatu;Matrícula;Alterado RA;5.160
Instituto Federal do Ceará;Campus Iguatu;Matrícula;Inconsistente RA;2.783
Instituto Federal do Ceará;Campus Itapipoca;Ciclo;Alterado RA;101
Instituto Federal do Ceará;Campus Itapipoca;Ciclo;Inconsistente RA;22
Instituto Federal do Ceará;Campus Itapipoca;Curso;Alterado RA;5
Instituto Federal do Ceará;Campus Itapipoca;Matrícula;Alterado RA;2.308
Instituto Federal do Ceará;Campus Itapipoca;Matrícula;Inconsistente RA;1.739
Instituto Federal do Ceará;Campus Jaguaribe;Ciclo;Alterado RA;142
Instituto Federal do Ceará;Campus Jaguaribe;Ciclo;Inconsistente RA;52
Instituto Federal do Ceará;Campus Jaguaribe;Curso;Alterado RA;12
Instituto Federal do Ceará;Campus Jaguaribe;Curso;Inconsistente RA;2
Instituto Federal do Ceará;Campus Jaguaribe;Matrícula;Alterado RA;2.015
Instituto Federal do Ceará;Campus Jaguaribe;Matrícula;Inconsistente RA;2.065
Instituto Federal do Ceará;Campus Juazeiro do Norte;Ciclo;Alterado RA;367
Instituto Federal do Ceará;Campus Juazeiro do Norte;Ciclo;Inconsistente RA;16
Instituto Federal do Ceará;Campus Juazeiro do Norte;Curso;Validado RA;20
Instituto Federal do Ceará;Campus Juazeiro do Norte;Matrícula;Alterado RA;8.896
Instituto Federal do Ceará;Campus Juazeiro do Norte;Matrícula;Inconsistente RA;5.897
Instituto Federal do Ceará;Campus Limoeiro do Norte;Ciclo;Validado RA;410
Instituto Federal do Ceará;Campus Limoeiro do Norte;Curso;Validado RA;24
Instituto Federal do Ceará;Campus Limoeiro do Norte;Matrícula;Alterado RA;8.410
Instituto Federal do Ceará;Campus Limoeiro do Norte;Matrícula;Inconsistente RA;1.220
Instituto Federal do Ceará;Campus Maracanaú;Ciclo;Alterado RA;451
Instituto Federal do Ceará;Campus Maracanaú;Ciclo;Inconsistente RA;18
Instituto Federal do Ceará;Campus Maracanaú;Curso;Validado RA;16
Instituto Federal do Ceará;Campus Maracanaú;Matrícula;Alterado RA;9.939
Instituto Federal do Ceará;Campus Maracanaú;Matrícula;Inconsistente RA;5.301
Instituto Federal do Ceará;Campus Maranguape;Ciclo;Alterado RA;60
Instituto Federal do Ceará;Campus Maranguape;Ciclo;Validado RA;53
Instituto Federal do Ceará;Campus Maranguape;Curso;Validado RA;12
Instituto Federal do Ceará;Campus Maranguape;Matrícula;Alterado RA;2.756
Instituto Federal do Ceará;Campus Maranguape;Matrícula;Inconsistente RA;1.468
Instituto Federal do Ceará;Campus Morada Nova;Ciclo;Alterado RA;110
Instituto Federal do Ceará;Campus Morada Nova;Ciclo;Inconsistente RA;50
Instituto Federal do Ceará;Campus Morada Nova;Curso;Validado RA;9
Instituto Federal do Ceará;Campus Morada Nova;Matrícula;Alterado RA;2.147
Instituto Federal do Ceará;Campus Morada Nova;Matrícula;Inconsistente RA;1.509
Instituto Federal do Ceará;Campus Paracuru;Ciclo;Validado RA;170
Instituto Federal do Ceará;Campus Paracuru;Curso;Validado RA;12
Instituto Federal do Ceará;Campus Paracuru;Matrícula;Alterado RA;3.982
Instituto Federal do Ceará;Campus Paracuru;Matrícula;Inconsistente RA;808
Instituto Federal do Ceará;Campus Paracuru;Matrícula;Validado RA;483
Instituto Federal do Ceará;Campus Quixadá;Ciclo;Validado RA;339
Instituto Federal do Ceará;Campus Quixadá;Curso;Validado RA;12
Instituto Federal do Ceará;Campus Quixadá;Matrícula;Alterado RA;7.554
Instituto Federal do Ceará;Campus Quixadá;Matrícula;Inconsistente RA;2.567
Instituto Federal do Ceará;Campus Sobral;Ciclo;Validado RA;651
Instituto Federal do Ceará;Campus Sobral;Curso;Validado RA;22
Instituto Federal do Ceará;Campus Sobral;Matrícula;Validado RA;15.981
Instituto Federal do Ceará;Campus Tabuleiro do Norte;Ciclo;Validado RA;171
Instituto Federal do Ceará;Campus Tabuleiro do Norte;Curso;Validado RA;30
Instituto Federal do Ceará;Campus Tabuleiro do Norte;Matrícula;Validado RA;4.948
Instituto Federal do Ceará;Campus Tauá;Ciclo;Alterado RA;126
Instituto Federal do Ceará;Campus Tauá;Curso;Validado RA;9
Instituto Federal do Ceará;Campus Tauá;Matrícula;Alterado RA;1.513
Instituto Federal do Ceará;Campus Tauá;Matrícula;Inconsistente RA;1.024
Instituto Federal do Ceará;Campus Tianguá;Ciclo;Validado RA;205
Instituto Federal do Ceará;Campus Tianguá;Curso;Validado RA;12
Instituto Federal do Ceará;Campus Tianguá;Matrícula;Alterado RA;3.804
Instituto Federal do Ceará;Campus Tianguá;Matrícula;Inconsistente RA;1.393
Instituto Federal do Ceará;Campus Ubajara;Ciclo;Validado RA;173
Instituto Federal do Ceará;Campus Ubajara;Curso;Validado RA;8
Instituto Federal do Ceará;Campus Ubajara;Matrícula;Validado RA;3.879
Instituto Federal do Ceará;Campus Umirim;Ciclo;Validado RA;85
Instituto Federal do Ceará;Campus Umirim;Curso;Validado RA;5
Instituto Federal do Ceará;Campus Umirim;Matrícula;Alterado RA;1.714
Instituto Federal do Ceará;Campus Umirim;Matrícula;Inconsistente RA;1.103
Instituto Federal do Ceará;Campus Umirim;Matrícula;Validado RA;39
Instituto Federal do Espírito Santo;Campus Alegre;Ciclo;Validado RA;147
Instituto Federal do Espírito Santo;Campus Alegre;Curso;Validado RA;18
Instituto Federal do Espírito Santo;Campus Alegre;Matrícula;Validado RA;5.284
Instituto Federal do Espírito Santo;Campus Aracruz;Ciclo;Validado RA;344
Instituto Federal do Espírito Santo;Campus Aracruz;Curso;Validado RA;13
Instituto Federal do Espírito Santo;Campus Aracruz;Matrícula;Validado RA;8.863
Instituto Federal do Espírito Santo;Campus Barra de São Francisco;Ciclo;Validado RA;165
Instituto Federal do Espírito Santo;Campus Barra de São Francisco;Curso;Validado RA;19
Instituto Federal do Espírito Santo;Campus Barra de São Francisco;Matrícula;Validado RA;7.143
Instituto Federal do Espírito Santo;Campus Cachoeiro de Itapemirim;Ciclo;Alterado RA;176
Instituto Federal do Espírito Santo;Campus Cachoeiro de Itapemirim;Ciclo;Validado RA;51
Instituto Federal do Espírito Santo;Campus Cachoeiro de Itapemirim;Curso;Validado RA;17
Instituto Federal do Espírito Santo;Campus Cachoeiro de Itapemirim;Matrícula;Alterado RA;5.565
Instituto Federal do Espírito Santo;Campus Cachoeiro de Itapemirim;Matrícula;Inconsistente RA;3.191
Instituto Federal do Espírito Santo;Campus Cachoeiro de Itapemirim;Matrícula;Validado RA;533
Instituto Federal do Espírito Santo;Campus Cariacica;Ciclo;Validado RA;194
Instituto Federal do Espírito Santo;Campus Cariacica;Curso;Validado RA;17
Instituto Federal do Espírito Santo;Campus Cariacica;Matrícula;Alterado RA;7.103
Instituto Federal do Espírito Santo;Campus Cariacica;Matrícula;Inconsistente RA;867
Instituto Federal do Espírito Santo;Campus Centro Serrano;Ciclo;Validado PI;33
Instituto Federal do Espírito Santo;Campus Centro Serrano;Ciclo;Validado RA;16
Instituto Federal do Espírito Santo;Campus Centro Serrano;Curso;Validado RA;6
Instituto Federal do Espírito Santo;Campus Centro Serrano;Matrícula;Validado RA;3.153
Instituto Federal do Espírito Santo;Campus Colatina;Ciclo;Alterado RA;106
Instituto Federal do Espírito Santo;Campus Colatina;Ciclo;Validado PI;121
Instituto Federal do Espírito Santo;Campus Colatina;Curso;Validado PI;21
Instituto Federal do Espírito Santo;Campus Colatina;Matrícula;Alterado PI;1
Instituto Federal do Espírito Santo;Campus Colatina;Matrícula;Alterado RA;1.334
Instituto Federal do Espírito Santo;Campus Colatina;Matrícula;Inconsistente PI;1.058
Instituto Federal do Espírito Santo;Campus Colatina;Matrícula;Inconsistente RA;947
Instituto Federal do Espírito Santo;Campus Colatina;Matrícula;Validado RA;3.293
Instituto Federal do Espírito Santo;Campus Guarapari;Ciclo;Alterado RA;3
Instituto Federal do Espírito Santo;Campus Guarapari;Ciclo;Inconsistente RA;1
Instituto Federal do Espírito Santo;Campus Guarapari;Ciclo;Validado RA;192
Instituto Federal do Espírito Santo;Campus Guarapari;Curso;Validado RA;12
Instituto Federal do Espírito Santo;Campus Guarapari;Matrícula;Alterado RA;8.390
Instituto Federal do Espírito Santo;Campus Guarapari;Matrícula;Inconsistente RA;894
Instituto Federal do Espírito Santo;Campus Ibatiba;Ciclo;Validado PI;226
Instituto Federal do Espírito Santo;Campus Ibatiba;Curso;Validado PI;12
Instituto Federal do Espírito Santo;Campus Ibatiba;Matrícula;Alterado RA;6.131
Instituto Federal do Espírito Santo;Campus Ibatiba;Matrícula;Inconsistente RA;657
Instituto Federal do Espírito Santo;Campus Itapina;Ciclo;Validado RA;141
Instituto Federal do Espírito Santo;Campus Itapina;Curso;Validado RA;12
Instituto Federal do Espírito Santo;Campus Itapina;Matrícula;Alterado RA;5.033
Instituto Federal do Espírito Santo;Campus Linhares;Ciclo;Validado RA;209
Instituto Federal do Espírito Santo;Campus Linhares;Curso;Validado RA;13
Instituto Federal do Espírito Santo;Campus Linhares;Matrícula;Alterado RA;6.118
Instituto Federal do Espírito Santo;Campus Linhares;Matrícula;Inconsistente RA;71
Instituto Federal do Espírito Santo;Campus Montanha;Ciclo;Validado RA;46
Instituto Federal do Espírito Santo;Campus Montanha;Curso;Validado RA;7
Instituto Federal do Espírito Santo;Campus Montanha;Matrícula;Alterado RA;2.651
Instituto Federal do Espírito Santo;Campus Montanha;Matrícula;Inconsistente RA;575
Instituto Federal do Espírito Santo;Campus Nova Venécia;Ciclo;Alterado RA;6
Instituto Federal do Espírito Santo;Campus Nova Venécia;Ciclo;Validado RA;99
Instituto Federal do Espírito Santo;Campus Nova Venécia;Curso;Validado RA;12
Instituto Federal do Espírito Santo;Campus Nova Venécia;Matrícula;Alterado RA;879
Instituto Federal do Espírito Santo;Campus Nova Venécia;Matrícula;Inconsistente RA;591
Instituto Federal do Espírito Santo;Campus Nova Venécia;Matrícula;Validado RA;3.218
Instituto Federal do Espírito Santo;Campus Piúma;Ciclo;Validado RA;62
Instituto Federal do Espírito Santo;Campus Piúma;Curso;Validado PI;8
Instituto Federal do Espírito Santo;Campus Piúma;Matrícula;Validado RA;3.729
Instituto Federal do Espírito Santo;Campus Presidente Kennedy;Ciclo;Validado PI;6
Instituto Federal do Espírito Santo;Campus Presidente Kennedy;Curso;Validado PI;2
Instituto Federal do Espírito Santo;Campus Presidente Kennedy;Matrícula;Validado PI;116
Instituto Federal do Espírito Santo;Campus Santa Teresa;Ciclo;Validado RA;101
Instituto Federal do Espírito Santo;Campus Santa Teresa;Curso;Validado RA;10
Instituto Federal do Espírito Santo;Campus Santa Teresa;Matrícula;Alterado RA;4.020
Instituto Federal do Espírito Santo;Campus Santa Teresa;Matrícula;Inconsistente RA;98
Instituto Federal do Espírito Santo;Campus São Mateus;Ciclo;Alterado RA;71
Instituto Federal do Espírito Santo;Campus São Mateus;Ciclo;Validado RA;53
Instituto Federal do Espírito Santo;Campus São Mateus;Curso;Validado RA;6
Instituto Federal do Espírito Santo;Campus São Mateus;Matrícula;Alterado RA;2.857
Instituto Federal do Espírito Santo;Campus São Mateus;Matrícula;Inconsistente RA;1.785
Instituto Federal do Espírito Santo;Campus São Mateus;Matrícula;Validado RA;110
Instituto Federal do Espírito Santo;Campus Serra;Ciclo;Validado PI;321
Instituto Federal do Espírito Santo;Campus Serra;Curso;Validado PI;21
Instituto Federal do Espírito Santo;Campus Serra;Matrícula;Inconsistente PI;2.617
Instituto Federal do Espírito Santo;Campus Serra;Matrícula;Validado RA;8.175
Instituto Federal do Espírito Santo;Campus Venda Nova do Imigrante;Ciclo;Validado RA;173
Instituto Federal do Espírito Santo;Campus Venda Nova do Imigrante;Curso;Validado RA;12
Instituto Federal do Espírito Santo;Campus Venda Nova do Imigrante;Matrícula;Validado RA;6.609
Instituto Federal do Espírito Santo;Campus Viana;Ciclo;Validado PI;86
Instituto Federal do Espírito Santo;Campus Viana;Curso;Validado PI;7
Instituto Federal do Espírito Santo;Campus Viana;Matrícula;Alterado RA;486
Instituto Federal do Espírito Santo;Campus Viana;Matrícula;Inconsistente PI;452
Instituto Federal do Espírito Santo;Campus Viana;Matrícula;Inconsistente RA;162
Instituto Federal do Espírito Santo;Campus Viana;Matrícula;Validado PI;9
Instituto Federal do Espírito Santo;Campus Viana;Matrícula;Validado RA;2.037
Instituto Federal do Espírito Santo;Campus Vila Velha;Ciclo;Validado PI;51
Instituto Federal do Espírito Santo;Campus Vila Velha;Ciclo;Validado RA;124
Instituto Federal do Espírito Santo;Campus Vila Velha;Curso;Validado PI;13
Instituto Federal do Espírito Santo;Campus Vila Velha;Matrícula;Alterado RA;69
Instituto Federal do Espírito Santo;Campus Vila Velha;Matrícula;Inconsistente RA;23
Instituto Federal do Espírito Santo;Campus Vila Velha;Matrícula;Validado RA;9.408
Instituto Federal do Espírito Santo;Campus Vitória;Ciclo;Alterado RA;3
Instituto Federal do Espírito Santo;Campus Vitória;Ciclo;Inconsistente RA;9
Instituto Federal do Espírito Santo;Campus Vitória;Ciclo;Validado RA;740
Instituto Federal do Espírito Santo;Campus Vitória;Curso;Alterado PI;1
Instituto Federal do Espírito Santo;Campus Vitória;Curso;Validado PI;10
Instituto Federal do Espírito Santo;Campus Vitória;Curso;Validado RA;27
Instituto Federal do Espírito Santo;Campus Vitória;Matrícula;Alterado RA;1.680
Instituto Federal do Espírito Santo;Campus Vitória;Matrícula;Inconsistente RA;1.112
Instituto Federal do Espírito Santo;Campus Vitória;Matrícula;Validado RA;19.580
Instituto Federal do Espírito Santo;Centro de Referência em Formação e Educação a Distância;Ciclo;Validado RA;2.037
Instituto Federal do Espírito Santo;Centro de Referência em Formação e Educação a Distância;Curso;Validado RA;73
Instituto Federal do Espírito Santo;Centro de Referência em Formação e Educação a Distância;Matrícula;Alterado RA;48.990
Instituto Federal do Espírito Santo;Centro de Referência em Formação e Educação a Distância;Matrícula;Inconsistente RA;558
Instituto Federal do Maranhão;Campus Açailândia;Ciclo;Validado RA;164
Instituto Federal do Maranhão;Campus Açailândia;Curso;Validado RA;11
Instituto Federal do Maranhão;Campus Açailândia;Matrícula;Alterado RA;5.444
Instituto Federal do Maranhão;Campus Açailândia;Matrícula;Inconsistente RA;1.334
Instituto Federal do Maranhão;Campus Alcântara;Ciclo;Alterado RA;58
Instituto Federal do Maranhão;Campus Alcântara;Ciclo;Inconsistente RA;34
Instituto Federal do Maranhão;Campus Alcântara;Curso;Alterado RA;8
Instituto Federal do Maranhão;Campus Alcântara;Curso;Inconsistente RA;1
Instituto Federal do Maranhão;Campus Alcântara;Matrícula;Alterado RA;1.299
Instituto Federal do Maranhão;Campus Alcântara;Matrícula;Inconsistente RA;1.108
